Time [sec]	P [hPa]	T [oC]	Ws [m/s]	Wd [o]	Alt [m]	Lon [o]	Lat [o]	Dew [oC]
0	1009.3	4.5	1.5	30	30	38.332900	-75.089120	1.7
1	1009.2	2.1	3.8	235	31	-75.089025	38.332695	-1.1
2	1009.1	1.7	3.8	235	32	-75.089093	38.332656	-1.3
3	1009.0	1.7	3.8	235	33	-75.089161	38.332616	-0.7
4	1008.8	1.7	3.8	235	34	-75.089229	38.332577	-0.2
5	1008.7	1.7	3.8	235	35	-75.089297	38.332537	0.2
6	1008.6	1.7	1.9	235	36	-75.089365	38.332498	0.5
7	1008.3	1.7	7.3	55	36	-75.089433	38.332458	0.8
8	1008.0	1.7	7.3	55	37	-75.089501	38.332419	0.9
9	1007.7	1.7	7.3	55	39	-75.089569	38.332379	0.9
10	1007.4	1.6	7.3	55	43	-75.089636	38.332340	1.0
11	1007.1	1.6	7.3	55	46	-75.089704	38.332300	1.0
12	1006.8	1.6	7.3	55	50	-75.089772	38.332261	1.0
13	1006.2	1.5	7.3	55	53	-75.089840	38.332221	1.0
14	1005.7	1.5	7.3	55	57	-75.089908	38.332182	0.9
15	1005.1	1.5	7.3	55	61	-75.089985	38.332157	0.8
16	1004.5	1.4	7.3	55	67	-75.090062	38.332131	0.7
17	1003.9	1.3	7.3	55	73	-75.090139	38.332105	0.6
18	1003.3	1.3	7.3	55	78	-75.090216	38.332079	0.6
19	1002.6	1.3	7.2	59	84	-75.090293	38.332053	0.8
20	1002.0	1.3	7.2	61	90	-75.090370	38.332028	0.9
21	1001.3	1.2	7.2	63	95	-75.090446	38.332002	0.9
22	1000.7	1.2	7.2	64	100	-75.090523	38.331976	0.9
23	1000.1	1.1	7.2	65	105	-75.090600	38.331950	0.8
24	999.4	1.1	7.2	66	109	-75.090677	38.331924	0.7
25	998.9	1.1	7.1	66	114	-75.090754	38.331899	0.7
26	998.5	1.0	7.2	67	118	-75.090831	38.331873	0.6
27	998.0	0.9	7.2	67	121	-75.090908	38.331847	0.5
28	997.5	0.9	7.1	67	125	-75.090985	38.331821	0.5
29	997.1	0.8	7.2	71	128	-75.091061	38.331795	0.4
30	996.6	0.8	7.2	71	132	-75.091138	38.331770	0.4
31	996.1	0.7	7.2	71	136	-75.091215	38.331744	0.3
32	995.7	0.7	7.2	71	139	-75.091292	38.331718	0.3
33	995.2	0.7	7.4	70	143	-75.091369	38.331692	0.2
34	994.7	0.7	7.5	70	147	-75.091446	38.331666	0.2
35	994.2	0.7	7.6	69	151	-75.091523	38.331641	0.2
36	993.7	0.7	7.7	69	155	-75.091599	38.331615	0.1
37	993.2	0.6	7.7	69	159	-75.091676	38.331589	0.0
38	992.7	0.6	7.7	69	163	-75.091753	38.331563	0.0
39	992.2	0.6	7.7	69	168	-75.091830	38.331537	0.0
40	991.7	0.5	7.8	69	172	-75.091907	38.331512	0.0
41	991.2	0.5	7.8	69	176	-75.091984	38.331486	0.0
42	990.7	0.5	7.8	68	180	-75.092061	38.331460	0.1
43	990.3	0.4	7.8	68	184	-75.092137	38.331434	0.1
44	989.8	0.4	7.9	69	187	-75.092214	38.331408	0.1
45	989.4	0.4	7.9	68	190	-75.092293	38.331383	0.2
46	989.0	0.4	7.8	68	194	-75.092375	38.331360	0.3
47	988.6	0.4	7.8	68	197	-75.092457	38.331336	0.2
48	988.2	0.4	7.9	67	200	-75.092539	38.331312	0.3
49	987.9	0.4	8.0	67	203	-75.092621	38.331289	0.3
50	987.5	0.4	8.0	67	206	-75.092703	38.331265	0.4
51	987.1	0.4	8.1	67	209	-75.092785	38.331241	0.4
52	986.8	0.3	8.1	66	212	-75.092867	38.331218	0.3
53	986.4	0.3	8.1	66	215	-75.092949	38.331194	0.3
54	986.0	0.3	8.1	66	218	-75.093030	38.331170	0.3
55	985.7	0.3	8.1	66	220	-75.093112	38.331147	0.3
56	985.5	0.2	8.1	66	222	-75.093194	38.331123	0.2
57	985.2	0.2	8.1	65	225	-75.093276	38.331099	0.2
58	984.9	0.2	8.1	66	227	-75.093358	38.331076	0.2
59	984.6	0.2	8.0	66	229	-75.093440	38.331052	0.2
60	984.3	0.2	8.0	66	232	-75.093522	38.331028	0.2
61	984.1	0.2	7.9	67	234	-75.093604	38.331005	0.2
62	983.9	0.1	7.8	67	235	-75.093686	38.330981	0.1
63	983.6	0.1	7.8	67	237	-75.093767	38.330957	0.1
64	983.4	0.1	7.7	67	239	-75.093849	38.330933	0.1
65	983.2	0.1	7.7	68	241	-75.093931	38.330910	0.1
66	982.9	0.1	7.6	69	243	-75.094013	38.330886	0.1
67	982.7	0.1	7.5	69	245	-75.094095	38.330862	0.1
68	982.4	0.0	7.4	69	247	-75.094177	38.330839	0.0
69	982.2	0.0	7.4	70	249	-75.094259	38.330815	0.0
70	981.9	0.0	7.3	70	251	-75.094341	38.330791	0.0
71	981.7	0.0	7.3	71	253	-75.094423	38.330768	0.0
72	981.4	0.0	7.3	71	255	-75.094504	38.330744	0.0
73	981.1	0.0	7.3	71	258	-75.094586	38.330720	0.0
74	980.8	-0.1	7.2	72	260	-75.094668	38.330697	-0.1
75	980.5	-0.1	7.2	73	263	-75.094754	38.330680	-0.1
76	980.2	-0.1	7.2	73	265	-75.094841	38.330665	-2.2
77	979.9	-0.1	7.2	73	268	-75.094927	38.330650	-2.9
78	979.6	-0.1	7.3	73	271	-75.095014	38.330635	-2.9
79	979.2	-0.1	7.3	73	273	-75.095101	38.330620	-3.4
80	978.8	-0.2	7.4	73	276	-75.095188	38.330605	-5.6
81	978.5	-0.2	7.4	73	279	-75.095275	38.330590	-3.6
82	978.1	-0.2	7.4	73	282	-75.095361	38.330575	-2.0
83	977.7	-0.2	7.5	73	285	-75.095448	38.330560	-1.4
84	977.4	-0.3	7.5	73	289	-75.095535	38.330545	-1.0
85	976.9	-0.3	7.6	73	292	-75.095622	38.330531	-0.6
86	976.5	-0.3	7.6	73	296	-75.095709	38.330516	-0.4
87	976.1	-0.4	7.7	74	299	-75.095795	38.330501	-0.4
88	975.6	-0.4	7.7	74	303	-75.095882	38.330486	-0.4
89	975.2	-0.4	7.8	74	306	-75.095969	38.330471	-0.4
90	974.7	-0.4	7.8	74	310	-75.096056	38.330456	-0.4
91	974.3	-0.4	7.9	74	314	-75.096143	38.330441	-0.4
92	973.9	-0.4	7.8	75	317	-75.096229	38.330426	-0.4
93	973.5	-0.4	7.8	75	321	-75.096316	38.330411	-0.4
